velocity, actor, ttfc, ttg, collision_to_ego_times, collision_times, offlane_times, lateral_rmse, final_reward, initial_distance_to_end, end_distance_to_end, road_completion
3,ego,51,0,0,1,0,1.0293818879361025,0,51.86375670212213,9.924033360932377,0.8086518603360965
3,ego,47,0,0,1,0,1.3056583429554451,0,51.86375670212213,38.93707353359376,0.24924309364576833
3,ego,45,0,0,2,0,1.3430027866818681,0,51.86375670212213,38.68438362211405,0.25411528045882603
3,ego,0,0,0,0,0,1.4420398311764095,0,51.86375670212213,39.56209050942361,0.2371919616882509
3,ego,0,0,0,0,0,0.931703242732654,0,51.86375670212213,34.50851333344361,0.33463143575113197
3,ego,85,0,0,1,0,1.0307311674135973,0,51.86375670212213,37.98754196839634,0.2675512846750264
3,ego,52,0,0,1,0,1.044349812767991,0,51.86375670212213,11.148453074421809,0.7850434719094376
3,ego,38,0,0,1,0,1.1735475719269257,0,51.86375670212213,36.485085610044706,0.29652057756641775
3,ego,41,0,0,1,0,1.1411776593234524,0,51.86375670212213,36.47091370135125,0.29679383021132066
3,ego,0,0,0,0,0,1.3417041348594216,0,51.86375670212213,39.14563174196197,0.24522182288503153
3,ego,39,0,0,1,0,1.2807950856572106,0,51.86375670212213,39.04196364618528,0.24722067723667646
3,ego,0,0,0,0,0,1.1008462956237524,0,51.86375670212213,39.910540300831194,0.23047340110636147
3,ego,83,0,0,1,0,1.1571565415661542,0,51.86375670212213,38.290530049460386,0.26170928439717833
3,ego,41,0,0,1,0,1.3098575139389401,0,51.86375670212213,34.87512913025001,0.32756261119775365
3,ego,47,0,0,1,0,1.0424952752134131,0,51.86375670212213,8.651783814524524,0.8331824695188247
3,ego,0,0,0,0,0,1.3038781235412282,0,51.86375670212213,38.97743445567885,0.2484648831062406
3,ego,0,0,0,0,0,0.9975382262967043,0,51.86375670212213,34.83410264422742,0.32835365466686106
3,ego,45,0,0,1,0,1.0999682383484777,0,51.86375670212213,15.30413314230793,0.7049166100672818
3,ego,40,0,0,2,0,0.9090409735381458,0,51.86375670212213,39.13800928239883,0.2453687937187665
3,ego,0,0,0,0,0,1.0443441963830178,0,51.86375670212213,39.70681272619382,0.23440153102968114
3,ego,84,0,0,1,0,1.15470268263873,0,51.86375670212213,38.026096674174255,0.26680790031127216
3,ego,54,0,0,1,0,1.0646754247947747,0,51.86375670212213,8.10976582799806,0.843633274107461
3,ego,0,0,0,0,0,0.9639165065861158,0,51.86375670212213,34.686229813593656,0.3312048332169045
3,ego,45,0,0,1,0,1.0772777995814191,0,51.86375670212213,26.34378242834674,0.49205795909364164
3,ego,0,0,0,0,0,1.0556991026054567,0,51.86375670212213,8.179152992098015,0.8422954002527291
3,ego,0,0,0,0,0,1.3240534459116584,0,51.86375670212213,39.03271933382318,0.24739891948039194
3,ego,45,0,0,1,0,1.0550926402003271,0,51.86375670212213,15.22413347810409,0.7064591065868323
3,ego,0,0,0,0,0,1.0236299234304689,0,51.86375670212213,37.225309856915594,0.28224810110231696
3,ego,46,0,0,1,0,1.0648838001620071,0,51.86375670212213,12.615915215088027,0.75674891258751
3,ego,67,0,0,1,0,1.048049116504292,0,51.86375670212213,35.0085564604896,0.3249899604928322
3,ego,0,0,0,0,0,1.0561756381191938,0,51.86375670212213,8.2626450790954,0.8406855653254807
3,ego,85,0,0,1,0,1.303049664251957,0,51.86375670212213,38.97781706848553,0.248457505838742
3,ego,65,0,0,1,0,0.9872157953967889,0,51.86375670212213,35.50385593288416,0.3154399490033195
3,ego,0,0,0,0,0,0.9875173375238783,0,51.86375670212213,34.89490181454581,0.3271813683886497
3,ego,46,0,0,1,0,1.0953230240439993,0,51.86375670212213,37.94720812691276,0.2683289730656927
3,ego,38,0,0,1,0,1.2999205898891322,0,51.86375670212213,36.9119983004413,0.2882891512767922
3,ego,38,0,0,1,0,1.1896006968539201,0,51.86375670212213,36.610192012416164,0.2941083650633783
3,ego,0,0,0,0,0,1.3476968656091888,0,51.86375670212213,37.15970984551051,0.28351295377741054
3,ego,0,0,0,0,0,1.3903388796840226,0,51.86375670212213,39.262599302427944,0.24296653773209184
3,ego,45,0,0,1,0,1.0044938228667057,0,51.86375670212213,37.353344065246866,0.27977943673103683
3,ego,38,0,0,1,0,1.1119273416048512,0,51.86375670212213,36.29492283589525,0.30018716067264456
