episode,R_collision,RC,OL,TTD,TTFC,Ego_Cols,Total_Cols,NPC_LDE,BG_LDE
1,0,0.5540912050876111,0,80,80,0,2,1.4467921852764416,2.585611186284965
2,0,0.566056716499432,0,80,80,0,2,2.751177450162711,3.3761014692398676
3,1,0.441426415276993,0,80,52,1,1,0.5113258218424074,1.4775913209283655
4,0,0.6026222170733604,0,80,80,0,2,1.9644668804820107,1.8674183061922733
5,1,0.40380409454388305,0,80,45,1,1,0.46085132770480164,0.9955752345533285
6,0,0.6018645233371795,0,80,80,0,2,2.6928802974296446,1.8291447317477891
7,1,0.36413878363855684,0,80,41,1,2,1.0282129379784029,0.9502301103590469
8,1,0.4572692038790766,0,80,66,1,3,1.6455293460698626,1.9333694197816977
9,0,0.6026222170733604,0,80,80,0,2,3.3003473126526455,2.9077360101167566
10,1,0.4047340528515176,0,80,45,1,1,0.63809039422382,1.1574756043480552
11,1,0.4886305801665692,0,80,66,1,3,1.889964829045076,2.5964983976805804
12,0,0.5363556657912211,0,80,80,0,2,0.5765810723859208,1.917936748948465
13,0,0.6021099330541375,0,80,80,0,2,1.6749947559850547,1.8326563061623735
14,1,0.3061228883593332,0,80,56,1,3,1.1891364955256831,1.489907487157429
15,1,0.5012351496570243,0,80,64,1,1,0.9714267804775574,1.5391365441975793
16,0,0.6022671870298092,0,80,80,0,3,2.313021034253742,3.8852485265043555
17,0,0.3210138455320205,0,80,80,0,2,1.2817975854468482,4.018257357343013
18,1,0.39340680580069987,0,80,43,1,1,0.8849682972324061,1.058370392255939
19,1,0.4173890113882836,0,80,46,1,2,0.8854956645923506,1.493249470502078
20,0,0.2834316961636714,0,80,80,0,0,1.5697868677107245,2.4751298098619983
21,0,0.5971246533465082,0,80,80,0,2,2.1330994637189082,2.7157610105664745
22,0,0.5590331811070789,0,80,80,0,4,3.126210182777365,3.561023718436658
23,0,0.6069473887957431,0,80,80,0,2,1.2919082705422895,2.1368471228100447
24,1,0.37912088593750565,0,80,40,1,2,0.6338527665829895,0.9602165139196701
25,0,0.5744782512969937,0,80,80,0,3,1.1622310349674903,2.2037784627077275
26,0,0.5695413611876725,0,80,80,0,0,0.8812862442237098,1.730843845393669
27,1,0.4498696238362042,0,80,50,1,2,0.8815493227537007,1.5167886886563804
28,0,0.5555914748292741,0,80,80,0,2,2.1948752928231525,2.5778914741919223
29,0,0.6018645233371795,0,80,80,0,3,3.495343587911591,1.8264011631758903
30,0,0.6014406905267433,0,80,80,0,2,1.9677309683432143,4.186498902477978
31,0,0.5730747724341317,0,80,80,0,0,1.923392320598307,3.499801815193346
32,0,0.5542369376067828,0,80,80,0,2,1.862234868001744,2.488806684833357
33,0,0.47372351418313446,0,80,80,0,0,1.6009320591153549,3.3097835576517376
34,0,0.6021099330541375,0,80,80,0,2,1.9783329051402605,1.577638741110168
35,0,0.318263007125227,0,80,80,0,2,1.908537390755834,1.7749708284774321
36,1,0.443843810453143,0,80,50,1,2,0.7721167236608654,1.133527830749335
37,1,0.4505431094984575,0,80,51,1,1,0.4966523134899914,1.176696963438343
38,1,0.41069456393939,0,80,46,1,1,0.6729850040714944,1.2499336947195612
39,0,0.5706197083800443,0,80,80,0,0,0.9440250355433765,1.718581669825765
40,0,0.5619961835499936,0,80,80,0,1,3.1357038107480393,4.420954238710028
41,0,0.6017005280057455,0,80,80,0,1,2.6578224465485984,3.2017545376403183
42,0,0.6026222170733604,0,80,80,0,2,2.4831006583997923,1.7129304666664698
43,1,0.40028498002772056,0,80,44,1,1,1.0388392864229241,1.1006427620709063
44,1,0.5368176554530009,0,80,73,1,1,0.9824659347497592,2.24666675881386
45,1,0.5390411589186759,0,80,73,1,1,1.0776608642430654,2.3992006169232383
46,0,0.5735429630304554,0,80,80,0,1,1.8127854040931657,2.659386375761866
47,1,0.4283956989214844,0,80,48,1,3,1.2686757596571498,1.2170982462185616
48,1,0.5508071101871895,0,80,79,1,5,3.1307687617555353,3.1658361274697797
49,1,0.45591631404933597,0,80,52,1,3,0.7570253071659504,1.2075465847321183
50,0,0.6026222170733604,0,80,80,0,4,3.939344818173438,1.4981548873934167
51,0,0.5897068648684074,0,80,80,0,4,3.7979151167283973,4.283052905309984
52,0,0.6026488088397771,0,80,80,0,2,3.0457006983845267,4.758535482469891
53,1,0.5355383354947701,0,80,75,1,3,2.7307406294937024,2.581008160720053
