Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location
76,868,"1,016",1118935766700,30.08,345.902,6452070.894,1873104.428,13.9,6.8,2,0,0,2,102,208,0,2,2,1,0,85,0,0,lankershim
76,869,"1,016",1118935766800,30.08,345.905,6452070.894,1873104.428,13.9,6.8,2,0,-0.46,2,102,208,0,2,2,1,0,85,0,0,lankershim
76,870,"1,016",1118935766900,30.083,345.896,6452070.894,1873104.428,13.9,6.8,2,0.04,-0.33,2,102,208,0,2,2,1,0,85,0,0,lankershim
76,871,"1,016",1118935767000,30.085,345.866,6452070.894,1873104.428,13.9,6.8,2,0.24,4.34,2,102,208,0,2,2,1,0,85,0,0,lankershim
76,872,"1,016",1118935767100,30.072,345.865,6452070.877,1873104.378,13.9,6.8,2,1.05,11.34,2,102,208,0,2,2,1,0,85,0,0,lankershim
76,873,"1,016",1118935767200,30.037,346.057,6452070.876,1873104.49,13.9,6.8,2,2.5,11.28,2,102,208,0,2,2,1,0,85,0,0,lankershim
76,874,"1,016",1118935767300,30.004,346.565,6452070.963,1873104.82,13.9,6.8,2,6.48,11.64,2,102,208,0,2,2,1,0,85,0,0,lankershim
76,875,"1,016",1118935767400,29.936,347.646,6452071.154,1873105.332,13.9,6.8,2,13.19,12.55,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,876,"1,016",1118935767500,29.787,349.127,6452071.442,1873106.063,13.9,6.8,2,18.11,11.79,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,877,"1,016",1118935767600,29.592,351.029,6452071.796,1873106.955,13.9,6.8,2,19.09,-11.31,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,878,"1,016",1118935767700,29.414,352.712,6452072.199,1873107.799,13.9,6.8,2,16.18,-12.37,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,879,"1,016",1118935767800,29.317,354.2,6452072.651,1873108.642,13.9,6.8,2,11.59,-11.7,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,880,"1,016",1118935767900,29.268,355.178,6452073.113,1873109.486,13.9,6.8,2,9.57,-0.21,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,881,"1,016",1118935768000,29.204,356.139,6452073.565,1873110.33,13.9,6.8,2,9.55,-0.51,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,882,"1,016",1118935768100,29.14,357.087,6452074.017,1873111.174,13.9,6.8,2,9.53,0.31,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,883,"1,016",1118935768200,29.077,358.013,6452074.469,1873112.018,13.9,6.8,2,9.76,3.96,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,884,"1,016",1118935768300,28.998,358.961,6452074.905,1873112.815,13.9,6.8,2,10.51,10.83,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,885,"1,016",1118935768400,28.885,360.082,6452075.356,1873113.757,13.9,6.8,2,11.88,11.68,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,886,"1,016",1118935768500,28.737,361.359,6452075.89,1873114.912,13.9,6.8,2,13.72,11.68,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,887,"1,016",1118935768600,28.554,362.805,6452076.532,1873116.238,13.9,6.8,2,15.55,11.69,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,888,"1,016",1118935768700,28.335,364.404,6452077.256,1873117.777,13.9,6.8,2,16.94,11.21,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,889,"1,016",1118935768800,28.082,366.171,6452077.987,1873119.451,13.9,6.8,2,17.84,6.05,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,890,"1,016",1118935768900,27.816,367.982,6452078.71,1873121.088,13.9,6.8,2,18.4,4.35,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,891,"1,016",1118935769000,27.565,369.823,6452079.478,1873122.769,13.9,6.8,2,18.85,4.93,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,892,"1,016",1118935769100,27.335,371.706,6452080.304,1873124.511,13.9,6.8,2,19.43,6.62,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,893,"1,016",1118935769200,27.11,373.651,6452081.156,1873126.267,13.9,6.8,2,20.26,9.54,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,894,"1,016",1118935769300,26.882,375.714,6452082.034,1873128.079,13.9,6.8,2,21.41,11.2,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,895,"1,016",1118935769400,26.656,377.92,6452082.996,1873130.066,13.9,6.8,2,22.84,11.19,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,896,"1,016",1118935769500,26.44,380.259,6452084.079,1873132.163,13.9,6.8,2,24.26,11.21,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,897,"1,016",1118935769600,26.228,382.741,6452085.259,1873134.427,13.9,6.8,2,25.45,10.04,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,898,"1,016",1118935769700,25.989,385.342,6452086.452,1873136.755,13.9,6.8,2,26.33,8.6,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,899,"1,016",1118935769800,25.687,388.004,6452087.608,1873139.14,13.9,6.8,2,27.03,8.38,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,900,"1,016",1118935769900,25.313,390.721,6452088.741,1873141.641,13.9,6.8,2,27.6,6.75,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,901,"1,016",1118935770000,24.884,393.491,6452089.854,1873144.23,13.9,6.8,2,27.99,3.4,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,902,"1,016",1118935770100,24.434,396.285,6452090.964,1873146.836,13.9,6.8,2,28.18,0.63,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,903,"1,016",1118935770200,23.986,399.076,6452092.078,1873149.425,13.9,6.8,2,28.21,-0.29,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,904,"1,016",1118935770300,23.545,401.862,6452093.192,1873152.013,13.9,6.8,2,28.17,-0.46,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,905,"1,016",1118935770400,23.107,404.641,6452094.305,1873154.602,13.9,6.8,2,28.13,-0.3,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,906,"1,016",1118935770500,22.669,407.4,6452095.419,1873157.19,13.9,6.8,2,28.27,2.48,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,907,"1,016",1118935770600,22.222,410.168,6452096.515,1873159.744,13.9,6.8,2,28.84,8.21,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,908,"1,016",1118935770700,21.76,413.051,6452097.628,1873162.373,13.9,6.8,2,29.94,11.25,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,909,"1,016",1118935770800,21.289,416.093,6452098.829,1873165.195,13.9,6.8,2,31.48,11.24,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,910,"1,016",1118935770900,20.807,419.276,6452100.146,1873168.146,13.9,6.8,2,33.03,11.25,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,911,"1,016",1118935771000,20.316,422.618,6452101.55,1873171.289,13.9,6.8,2,34.14,8.21,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,912,"1,016",1118935771100,19.809,426.075,6452102.971,1873174.508,13.9,6.8,2,34.7,2.49,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,913,"1,016",1118935771200,19.293,429.54,6452104.374,1873177.692,13.9,6.8,2,34.85,-0.3,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,914,"1,016",1118935771300,18.778,432.988,6452105.778,1873180.876,13.9,6.8,2,34.8,-0.63,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,915,"1,016",1118935771400,18.265,436.426,6452107.182,1873184.06,13.9,6.8,2,34.74,-0.55,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,916,"1,016",1118935771500,17.751,439.845,6452108.585,1873187.244,13.9,6.8,2,34.82,1.56,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,917,"1,016",1118935771600,17.232,443.263,6452109.967,1873190.402,13.9,6.8,2,35.27,6.81,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,918,"1,016",1118935771700,16.719,446.767,6452111.37,1873193.585,13.9,6.8,2,36.22,11.06,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,919,"1,016",1118935771800,16.228,450.432,6452112.893,1873196.944,13.9,6.8,2,37.6,10.97,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,920,"1,016",1118935771900,15.748,454.3,6452114.543,1873200.401,13.9,6.8,2,38.06,-4.22,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,921,"1,016",1118935772000,15.292,458.079,6452116.313,1873204.034,13.9,6.8,2,36.91,-14.32,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,922,"1,016",1118935772100,14.959,461.714,6452118.104,1873207.693,13.9,6.8,2,35.85,-15.56,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,923,"1,016",1118935772200,14.753,465.124,6452119.873,1873211.325,13.9,6.8,2,35.93,0,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,924,"1,016",1118935772300,14.69,468.816,6452121.643,1873214.957,13.9,6.8,2,37.37,8.59,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,925,"1,016",1118935772400,14.723,472.609,6452123.412,1873218.589,13.9,6.8,2,39.44,11.3,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,926,"1,016",1118935772500,14.751,476.687,6452125.181,1873222.221,13.9,6.8,2,40.5,2.5,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,927,"1,016",1118935772600,14.758,480.713,6452126.933,1873225.817,13.9,6.8,2,41.09,8.45,2,102,208,2,0,2,1,0,85,0,0,lankershim
76,928,"1,016",1118935772700,14.759,484.862,6452128.701,1873229.495,13.9,6.8,2,42.22,11.22,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,929,"1,016",1118935772800,14.77,489.169,6452130.561,1873233.366,13.9,6.8,2,43.8,11.26,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,930,"1,016",1118935772900,14.798,493.622,6452132.54,1873237.369,13.9,6.8,2,45.38,11.22,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,931,"1,016",1118935773000,14.834,498.232,6452134.61,1873241.566,13.9,6.8,2,46.51,8.44,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,932,"1,016",1118935773100,14.865,502.967,6452136.697,1873245.844,13.9,6.8,2,47.09,2.46,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,933,"1,016",1118935773200,14.887,507.713,6452138.766,1873250.085,13.9,6.8,2,47.22,-0.64,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,934,"1,016",1118935773300,14.908,512.434,6452140.835,1873254.327,13.9,6.8,2,47.16,-0.81,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,935,"1,016",1118935773400,14.93,517.129,6452142.904,1873258.568,13.9,6.8,2,47.23,1.63,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,936,"1,016",1118935773500,14.947,521.829,6452144.958,1873262.781,13.9,6.8,2,47.67,6.59,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,937,"1,016",1118935773600,14.962,526.604,6452147.026,1873267.032,13.9,6.8,2,48.6,11.21,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,938,"1,016",1118935773700,14.983,531.535,6452149.168,1873271.464,13.9,6.8,2,49.91,11.22,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,939,"1,016",1118935773800,15.013,536.586,6452151.407,1873276.002,13.9,6.8,2,51.22,11.21,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,940,"1,016",1118935773900,15.048,541.794,6452153.72,1873280.72,13.9,6.8,2,51.3,6.59,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,941,"1,016",1118935774000,15.082,547.076,6452156.046,1873285.477,13.9,6.8,2,51.3,1.65,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,942,"1,016",1118935774100,15.11,552.358,6452158.358,1873290.206,13.9,6.8,2,51.3,-0.14,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,943,"1,016",1118935774200,15.138,557.627,6452160.67,1873294.934,13.9,6.8,2,51.3,0.21,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,944,"1,016",1118935774300,15.168,562.912,6452162.981,1873299.663,13.9,6.8,2,51.3,-1.92,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,945,"1,016",1118935774400,15.205,568.194,6452165.312,1873304.422,13.9,6.8,2,51.3,-7.4,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,946,"1,016",1118935774500,15.24,573.379,6452167.625,1873309.132,13.9,6.8,2,51.05,-11.34,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,947,"1,016",1118935774600,15.253,578.406,6452169.84,1873313.657,13.9,6.8,2,49.6,-11.46,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,948,"1,016",1118935774700,15.235,583.3,6452171.929,1873318.07,13.9,6.8,2,48.15,-11.06,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,949,"1,016",1118935774800,15.196,588.035,6452173.921,1873322.299,13.9,6.8,2,47.13,-7.35,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,950,"1,016",1118935774900,15.155,592.674,6452175.895,1873326.478,13.9,6.8,2,46.63,-1.96,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,951,"1,016",1118935775000,15.12,597.308,6452177.887,1873330.688,13.9,6.8,2,46.52,0.41,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,952,"1,016",1118935775100,15.089,601.966,6452179.88,1873334.897,13.9,6.8,2,46.51,0,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,953,"1,016",1118935775200,15.053,606.597,6452181.872,1873339.107,13.9,6.8,2,46.67,2.56,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,954,"1,016",1118935775300,15.006,611.237,6452183.864,1873343.316,13.9,6.8,2,47.62,11.2,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,955,"1,016",1118935775400,14.956,616.152,6452185.792,1873347.48,13.9,6.8,2,49.85,11.08,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,956,"1,016",1118935775500,14.924,621.35,6452187.969,1873352.064,13.9,6.8,2,51.3,10.79,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,957,"1,016",1118935775600,14.918,626.933,6452190.391,1873357.062,13.9,6.8,2,51.3,12.09,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,958,"1,016",1118935775700,14.966,632.919,6452193.05,1873362.495,13.9,6.8,2,51.31,12.38,2,102,208,0,3,2,1,0,85,0,0,lankershim
76,959,"1,016",1118935775800,15.082,639.211,6452195.957,1873368.359,13.9,6.8,2,51.31,6.82,2,102,208,0,3,2,1,0,85,0,0,lankershim
