Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location
85,928,955,1118935772700,18.002,440.26,6452109.012,1873187.454,16.2,6.5,2,38.67,-3.4,2,102,208,2,0,2,1,76,92,44.6,1.15,lankershim
85,929,955,1118935772800,17.6,444.103,6452110.722,1873190.966,16.2,6.5,2,38.31,-5.34,2,102,208,2,0,2,1,76,92,45.07,1.18,lankershim
85,930,955,1118935772900,17.185,447.86,6452112.383,1873194.308,16.2,6.5,2,38.08,4.63,2,102,208,2,0,2,1,76,92,45.76,1.2,lankershim
85,931,955,1118935773000,16.717,451.594,6452113.982,1873197.654,16.2,6.5,2,38.24,8.18,2,102,208,2,0,2,1,76,92,46.64,1.22,lankershim
85,932,955,1118935773100,16.127,455.459,6452115.497,1873201.213,16.2,6.5,2,38.09,-4.32,2,102,208,2,0,2,1,76,92,47.51,1.25,lankershim
85,933,955,1118935773200,15.521,459.226,6452117.104,1873204.862,16.2,6.5,2,37.1,-15.84,2,102,208,2,0,2,1,76,92,48.49,1.31,lankershim
85,934,955,1118935773300,15.164,462.841,6452118.827,1873208.747,16.2,6.5,2,36.21,-13.34,2,102,208,2,0,2,1,76,92,49.59,1.37,lankershim
85,935,955,1118935773400,14.949,466.328,6452120.61,1873212.495,16.2,6.5,2,36.07,-8.33,2,102,208,2,0,2,1,76,92,50.8,1.41,lankershim
85,936,955,1118935773500,14.93,469.951,6452122.449,1873216.054,16.2,6.5,2,36.98,12.7,2,102,208,2,0,2,1,76,92,51.88,1.4,lankershim
85,937,955,1118935773600,15.05,473.712,6452124.186,1873219.399,16.2,6.5,2,38.57,10.66,2,102,208,2,0,2,1,76,92,52.89,1.37,lankershim
85,938,955,1118935773700,15.084,477.645,6452125.872,1873222.875,16.2,6.5,2,39.97,10.26,2,102,208,2,0,2,1,76,92,53.89,1.35,lankershim
85,939,955,1118935773800,15.049,481.724,6452127.594,1873226.538,16.2,6.5,2,41.4,11.32,2,102,208,2,0,2,1,76,92,54.86,1.33,lankershim
85,940,955,1118935773900,14.987,485.92,6452129.37,1873230.324,16.2,6.5,2,42.76,10.77,2,102,208,0,3,2,1,76,92,55.87,1.31,lankershim
85,941,955,1118935774000,14.963,490.294,6452131.281,1873234.447,16.2,6.5,2,43.58,8.14,2,102,208,0,3,2,1,76,92,56.78,1.3,lankershim
85,942,955,1118935774100,15.025,494.707,6452133.237,1873238.33,16.2,6.5,2,43.94,7.25,2,102,208,0,3,2,1,76,92,57.65,1.31,lankershim
85,943,955,1118935774200,15.187,499.095,6452135.278,1873242.172,16.2,6.5,2,44.09,3.59,2,102,208,0,3,2,1,76,92,58.53,1.33,lankershim
85,944,955,1118935774300,15.388,503.497,6452137.394,1873246.064,16.2,6.5,2,44.34,2.36,2,102,208,0,3,2,1,76,92,59.42,1.34,lankershim
85,945,955,1118935774400,15.538,507.952,6452139.481,1873250,16.2,6.5,2,44.69,-5.06,2,102,208,0,3,2,1,76,92,60.24,1.35,lankershim
85,946,955,1118935774500,15.607,512.429,6452141.485,1873254.051,16.2,6.5,2,45.09,-1.61,2,102,208,0,3,2,1,76,92,60.95,1.35,lankershim
85,947,955,1118935774600,15.619,516.953,6452143.408,1873258.066,16.2,6.5,2,45.59,5.53,2,102,208,0,3,2,1,76,92,61.45,1.35,lankershim
85,948,955,1118935774700,15.621,521.542,6452145.425,1873262.206,16.2,6.5,2,46.07,5.03,2,102,208,0,3,2,1,76,92,61.76,1.34,lankershim
85,949,955,1118935774800,15.638,526.187,6452147.482,1873266.43,16.2,6.5,2,46.48,2.91,2,102,208,0,3,2,1,76,92,61.85,1.33,lankershim
85,950,955,1118935774900,15.656,530.85,6452149.514,1873270.601,16.2,6.5,2,46.85,3.25,2,102,208,0,3,2,1,76,92,61.82,1.32,lankershim
85,951,955,1118935775000,15.671,535.522,6452151.556,1873274.792,16.2,6.5,2,47.42,7.83,2,102,208,0,3,2,1,76,92,61.79,1.3,lankershim
85,952,955,1118935775100,15.69,540.28,6452153.612,1873279.054,16.2,6.5,2,48.34,11.2,2,102,208,0,3,2,1,76,92,61.69,1.28,lankershim
85,953,955,1118935775200,15.713,545.171,6452155.774,1873283.447,16.2,6.5,2,49.39,10.67,2,102,208,0,3,2,1,76,92,61.43,1.24,lankershim
85,954,955,1118935775300,15.736,550.181,6452157.989,1873287.994,16.2,6.5,2,50.32,7.83,2,102,208,0,3,2,1,76,92,61.06,1.21,lankershim
85,955,955,1118935775400,15.746,555.271,6452160.194,1873292.547,16.2,6.5,2,51.02,5.33,2,102,208,0,3,2,1,76,92,60.88,1.19,lankershim
85,956,955,1118935775500,15.74,560.411,6452162.418,1873297.174,16.2,6.5,2,51.3,4.09,2,102,208,0,3,2,1,76,92,60.94,1.19,lankershim
85,957,955,1118935775600,15.725,565.589,6452164.658,1873301.859,16.2,6.5,2,51.3,2.24,2,102,208,0,3,2,1,76,92,61.34,1.2,lankershim
85,958,955,1118935775700,15.705,570.791,6452166.9,1873306.555,16.2,6.5,2,51.3,0.42,2,102,208,0,3,2,1,76,92,62.13,1.21,lankershim
85,959,955,1118935775800,15.686,575.99,6452169.139,1873311.24,16.2,6.5,2,51.3,-0.19,2,102,208,0,3,2,1,76,92,63.22,1.23,lankershim
85,960,955,1118935775900,15.668,581.183,6452171.378,1873315.925,16.2,6.5,2,51.3,-0.1,2,102,208,0,3,2,1,76,92,64.5,1.26,lankershim
85,961,955,1118935776000,15.651,586.375,6452173.618,1873320.61,16.2,6.5,2,51.3,0,2,102,208,0,3,2,1,76,92,65.48,1.28,lankershim
85,962,955,1118935776100,15.633,591.568,6452175.857,1873325.295,16.2,6.5,2,51.3,0,2,102,208,0,3,2,1,76,92,66.31,1.29,lankershim
85,963,955,1118935776200,15.618,596.764,6452178.096,1873329.979,16.2,6.5,2,51.3,-0.6,2,102,208,0,3,2,1,76,92,66.79,1.3,lankershim
85,964,955,1118935776300,15.594,601.945,6452180.335,1873334.664,16.2,6.5,2,51.3,-0.1,2,102,208,0,3,2,1,76,92,67.65,1.32,lankershim
85,965,955,1118935776400,15.565,607.104,6452182.575,1873339.349,16.2,6.5,2,51.3,3.73,2,102,208,0,3,2,1,76,92,68.75,1.34,lankershim
85,966,955,1118935776500,15.546,612.309,6452184.752,1873343.979,16.2,6.5,2,51.3,9.65,2,102,208,0,3,2,1,76,92,70.07,1.37,lankershim
85,967,955,1118935776600,15.574,617.602,6452187.109,1873348.754,16.2,6.5,2,51.31,13.3,2,102,208,0,3,2,1,76,92,71.38,1.39,lankershim
